segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
243,15720.0,15780.0,60.0,2,309.6962962962963,309.6962962962963,1,1,800.0,800.0,663.0,39780.0,0.0,0,0,0
244,15780.0,15840.0,60.0,2,303.55975825471694,303.55975825471694,1,1,800.0,800.0,663.0,39780.0,0.0,0,0,0
245,15840.0,15900.0,60.0,2,297.20433455433454,297.20433455433454,1,1,800.0,800.0,663.0,39780.0,0.0,0,0,0
246,15900.0,16020.0,120.0,3,485.11799493991145,485.11799493991145,1,1,800.0,800.0,800.0,96000.0,0.0,0,0,0
247,16020.0,16080.0,60.0,3,473.3813775510204,473.3813775510204,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
248,16080.0,16140.0,60.0,3,467.17416005529515,467.17416005529515,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
249,16140.0,16200.0,60.0,3,460.72301668314776,460.72301668314776,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
250,16200.0,16260.0,60.0,3,454.0130689041444,454.0130689041444,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
251,16260.0,16320.0,60.0,3,445.9281854256854,445.9281854256854,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
252,16320.0,16380.0,60.0,4,582.1053911205074,582.1053911205074,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
253,16380.0,16403.636,23.635999999998603,4,576.9003896824354,576.9003896824354,1,1,800.0,800.0,800.0,18908.799999998882,0.0,0,0,0
254,16403.636,16440.0,36.3640000000014,4,574.3037712385072,574.3037712385072,1,2,1600.0,1600.0,1324.6,48167.75440000185,0.0,0,0,0
255,16440.0,16500.0,60.0,4,564.4683379719454,564.4683379719454,1,2,1600.0,1600.0,1324.6,79476.0,0.0,0,0,0
256,16500.0,16560.0,60.0,5,685.6525133278473,685.6525133278473,1,2,1600.0,1600.0,1463.0,87780.0,0.0,0,0,0
257,16560.0,16620.0,60.0,5,668.054570725059,668.054570725059,1,2,1600.0,1600.0,1463.0,87780.0,0.0,0,0,0
258,16620.0,16680.0,60.0,5,649.623971962725,649.623971962725,1,2,1600.0,1600.0,1463.0,87780.0,0.0,0,0,0
259,16680.0,16740.0,60.0,5,630.2989931282949,630.2989931282949,1,2,1600.0,1600.0,1463.0,87780.0,0.0,0,0,0
260,16740.0,16800.0,60.0,5,610.4996327332907,610.4996327332907,1,2,1600.0,1600.0,1463.0,87780.0,0.0,0,0,0
261,16800.0,16860.0,60.0,5,589.6963406286146,589.6963406286146,1,2,1600.0,1600.0,1463.0,87780.0,0.0,0,0,0
262,16860.0,16920.0,60.0,5,567.2854527417564,567.2854527417564,1,2,1600.0,1600.0,1463.0,87780.0,0.0,0,0,0
263,16920.0,17040.0,120.0,6,699.8038934311346,699.8038934311346,1,2,1600.0,1600.0,1600.0,192000.0,0.0,0,0,0
264,17040.0,17100.0,60.0,6,649.6437422871556,649.6437422871556,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
265,17100.0,17160.0,60.0,7,748.0391268295873,748.0391268295873,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
266,17160.0,17280.0,120.0,7,720.6493817552455,720.6493817552455,1,2,1600.0,1600.0,1600.0,192000.0,0.0,0,0,0
267,17280.0,17340.0,60.0,7,660.5341440916296,660.5341440916296,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
268,17340.0,17400.0,60.0,7,626.899171780365,626.899171780365,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
269,17400.0,17460.0,60.0,6,592.3341280604755,592.3341280604755,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
270,17460.0,17520.0,60.0,5,565.2282329190964,565.2282329190964,1,2,1600.0,1600.0,1388.8,83328.0,0.0,0,0,0
271,17520.0,17580.0,60.0,6,663.4248489724574,663.4248489724574,1,2,1600.0,1600.0,1599.9,95994.0,0.0,0,0,0
272,17580.0,17640.0,60.0,6,642.314505350167,642.314505350167,1,2,1600.0,1600.0,1596.4,95784.0,0.0,0,0,0
273,17640.0,17700.0,60.0,6,620.1100408042769,620.1100408042769,1,2,1600.0,1600.0,1596.4,95784.0,0.0,0,0,0
274,17700.0,17760.0,60.0,7,705.1622693116236,705.1622693116236,1,2,1600.0,1600.0,1545.7711999999942,92746.27199999965,0.0,0,0,0
275,17760.0,17820.0,60.0,6,685.3661169503862,685.3661169503862,1,2,1600.0,1600.0,1475.2,88512.0,0.0,0,0,0
276,17820.0,17880.0,60.0,6,669.0959474473614,669.0959474473614,1,2,1600.0,1600.0,1475.2,88512.0,0.0,0,0,0
277,17880.0,17940.0,60.0,6,652.080417236635,652.080417236635,1,2,1600.0,1600.0,1475.2,88512.0,0.0,0,0,0
278,17940.0,18000.0,60.0,6,634.263436577335,634.263436577335,1,2,1600.0,1600.0,1475.2,88512.0,0.0,0,0,0
279,18000.0,18060.0,60.0,6,615.5828479525354,615.5828479525354,1,2,1600.0,1600.0,1475.2,88512.0,0.0,0,0,0
280,18060.0,18120.0,60.0,6,595.969552175964,595.969552175964,1,2,1600.0,1600.0,1475.2,88512.0,0.0,0,0,0
281,18120.0,18180.0,60.0,7,669.5464749617603,669.5464749617603,1,2,1600.0,1600.0,1552.9,93174.0,0.0,0,0,0
282,18180.0,18240.0,60.0,7,648.0361990027542,648.0361990027542,1,2,1600.0,1600.0,1552.9,93174.0,0.0,0,0,0
283,18240.0,18300.0,60.0,7,625.33826787239,625.33826787239,1,2,1600.0,1600.0,1552.9,93174.0,0.0,0,0,0
284,18300.0,18360.0,60.0,8,739.343498487144,739.343498487144,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
285,18360.0,18420.0,60.0,8,716.0891979585659,716.0891979585659,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
286,18420.0,18540.0,120.0,8,691.3583815089145,691.3583815089145,1,2,1600.0,1600.0,1600.0,192000.0,0.0,0,0,0
287,18540.0,18600.0,60.0,8,636.8166783458346,636.8166783458346,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
288,18600.0,18660.0,60.0,8,606.0012449046857,606.0012449046857,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
289,18660.0,18720.0,60.0,7,574.9343302957623,574.9343302957623,1,2,1600.0,1600.0,1414.6,84876.0,0.0,0,0,0
290,18720.0,18780.0,60.0,7,677.9204424432152,677.9204424432152,1,2,1600.0,1600.0,1549.3000000000002,92958.0,0.0,0,0,0
291,18780.0,18840.0,60.0,7,662.0442836345986,662.0442836345986,1,2,1600.0,1600.0,1549.3000000000002,92958.0,0.0,0,0,0
292,18840.0,18900.0,60.0,7,645.4712563221526,645.4712563221526,1,2,1600.0,1600.0,1549.3000000000002,92958.0,0.0,0,0,0
293,18900.0,18960.0,60.0,7,628.1475367915757,628.1475367915757,1,2,1600.0,1600.0,1549.3000000000002,92958.0,0.0,0,0,0
294,18960.0,19020.0,60.0,7,610.013037949497,610.013037949497,1,2,1600.0,1600.0,1549.3000000000002,92958.0,0.0,0,0,0
295,19020.0,19080.0,60.0,7,591.0004122084155,591.0004122084155,1,2,1600.0,1600.0,1549.3000000000002,92958.0,0.0,0,0,0
296,19080.0,19140.0,60.0,7,571.0338503332019,571.0338503332019,1,2,1600.0,1600.0,1430.6,85836.0,0.0,0,0,0
297,19140.0,19200.0,60.0,6,554.9235270182714,554.9235270182714,1,2,1600.0,1600.0,1318.8000000000002,79128.0,0.0,0,0,0
298,19200.0,19260.0,60.0,6,542.375279969016,542.375279969016,1,2,1600.0,1600.0,1318.8000000000002,79128.0,0.0,0,0,0
299,19260.0,19320.0,60.0,6,529.3712595321351,529.3712595321351,1,2,1600.0,1600.0,1318.8000000000002,79128.0,0.0,0,0,0
300,19320.0,19380.0,60.0,6,515.8844012178098,515.8844012178098,1,2,1600.0,1600.0,1318.8000000000002,79128.0,0.0,0,0,0
301,19380.0,19440.0,60.0,6,501.88534138960483,501.88534138960483,1,2,1600.0,1600.0,1318.8000000000002,79128.0,0.0,0,0,0
302,19440.0,19500.0,60.0,6,487.3421587787649,487.3421587787649,1,2,1600.0,1600.0,1318.8000000000002,79128.0,0.0,0,0,0
303,19500.0,19560.0,60.0,6,472.2200794358789,472.2200794358789,1,2,1600.0,1600.0,1318.8000000000002,79128.0,0.0,0,0,0
304,19560.0,19564.472,4.472000000001572,6,456.4811388353965,456.4811388353965,1,2,1600.0,1600.0,1318.8000000000002,5897.673600002073,0.0,0,0,0
305,19564.472,19620.0,55.52799999999843,6,455.2822355967073,455.2822355967073,1,1,800.0,800.0,800.0,44422.39999999874,0.0,0,0,0
306,19620.0,19680.0,60.0,6,450.16029189285524,450.16029189285524,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
307,19680.0,19800.0,120.0,6,444.410327663417,444.410327663417,1,1,800.0,800.0,800.0,96000.0,0.0,0,0,0
308,19800.0,19860.0,60.0,6,432.1721773507808,432.1721773507808,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
309,19860.0,19920.0,60.0,6,425.6452504029765,425.6452504029765,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
310,19920.0,20040.0,120.0,5,419.3092477278892,419.3092477278892,1,1,800.0,800.0,800.0,96000.0,0.0,0,0,0
311,20040.0,20100.0,60.0,5,407.5221511502342,407.5221511502342,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
312,20100.0,20160.0,60.0,5,402.68753809124803,402.68753809124803,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
313,20160.0,20220.0,60.0,5,395.5091920130317,395.5091920130317,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
314,20220.0,20280.0,60.0,5,390.3846795889109,390.3846795889109,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
315,20280.0,20340.0,60.0,5,382.64134672029405,382.64134672029405,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
316,20340.0,20400.0,60.0,5,377.196867794271,377.196867794271,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
317,20400.0,20436.621,36.620999999999185,5,369.8183041776104,369.8183041776104,1,1,800.0,800.0,800.0,29296.799999999348,0.0,0,0,0
318,20436.621,20460.0,23.379000000000815,5,366.3291533931283,366.3291533931283,1,2,1600.0,1600.0,1080.2,25253.995800000877,0.0,0,0,0
319,20460.0,20520.0,60.0,5,360.23501621619914,360.23501621619914,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
320,20520.0,20580.0,60.0,5,344.01457534126905,344.01457534126905,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
321,20580.0,20640.0,60.0,5,326.8944248835842,326.8944248835842,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
322,20640.0,20700.0,60.0,5,308.7834154463891,308.7834154463891,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
323,20700.0,20760.0,60.0,5,289.5759220120111,289.5759220120111,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
324,20760.0,20820.0,60.0,5,269.148588701803,269.148588701803,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
325,20820.0,20880.0,60.0,5,247.3561052616013,247.3561052616013,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
326,20880.0,20940.0,60.0,5,224.02565095415747,224.02565095415747,1,2,1600.0,1600.0,1080.2,64812.0,0.0,0,0,0
327,20940.0,21060.0,120.0,5,198.94947312664934,198.94947312664934,1,2,1600.0,1600.0,1023.9120291666599,122869.44349999918,0.0,0,0,0
328,21060.0,21120.0,60.0,4,149.99497533722018,149.99497533722018,1,2,1600.0,1600.0,885.1,53106.0,0.0,0,0,0
329,21120.0,21180.0,60.0,4,132.38121491419557,132.38121491419557,1,2,1600.0,1600.0,885.1,53106.0,0.0,0,0,0
330,21180.0,21300.0,120.0,4,113.79553944047177,113.79553944047177,1,2,1600.0,1600.0,885.1,106212.0,0.0,0,0,0
331,21300.0,21360.0,60.0,3,73.33281432559392,73.33281432559392,1,2,1600.0,1600.0,404.566013333328,24273.96079999968,0.0,0,0,0
332,21360.0,21420.0,60.0,2,64.73391019230756,64.73391019230756,1,2,1600.0,1600.0,398.0,23880.0,0.0,0,0,0
333,21420.0,21480.0,60.0,2,55.842240958974216,55.842240958974216,1,2,1600.0,1600.0,398.0,23880.0,0.0,0,0,0
334,21480.0,21540.0,60.0,2,46.354097152777626,46.354097152777626,1,2,1600.0,1600.0,322.5483316666631,19352.899899999786,0.0,0,0,0
335,21540.0,21600.0,60.0,1,39.47936507936508,39.47936507936508,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
336,21600.0,21660.0,60.0,1,36.43225806451613,36.43225806451613,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
337,21660.0,21720.0,60.0,1,33.28524590163934,33.28524590163934,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
338,21720.0,21780.0,60.0,1,30.033333333333335,30.033333333333335,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
339,21780.0,21840.0,60.0,1,26.671186440677968,26.671186440677968,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
340,21840.0,21900.0,60.0,1,23.193103448275863,23.193103448275863,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
341,21900.0,21960.0,60.0,1,19.59298245614035,19.59298245614035,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
342,21960.0,22020.0,60.0,1,15.864285714285714,15.864285714285714,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
343,22020.0,22080.0,60.0,1,12.0,12.0,1,2,1600.0,1600.0,228.4,13704.0,0.0,0,0,0
344,22080.0,22099.452,19.452000000001135,1,7.992592592592593,7.992592592592593,1,2,1600.0,1600.0,228.4,4442.836800000259,0.0,0,0,0
345,22099.452,22140.0,40.547999999998865,1,6.661339374541149,6.661339374541149,1,1,800.0,800.0,228.4,9261.16319999974,0.0,0,0,0
346,22140.0,22200.0,60.0,1,3.8339622641509434,3.8339622641509434,1,1,800.0,800.0,203.2,12192.0,0.0,0,0,0
347,22200.0,22320.0,120.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
348,22320.0,22380.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
349,22380.0,22440.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
350,22440.0,22500.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
351,22500.0,22560.0,60.0,1,172.6,172.6,1,1,800.0,800.0,345.2,20712.0,0.0,0,0,0
352,22560.0,22620.0,60.0,1,169.72333333333333,169.72333333333333,1,1,800.0,800.0,345.2,20712.0,0.0,0,0,0
353,22620.0,22680.0,60.0,1,166.74915254237288,166.74915254237288,1,1,800.0,800.0,345.2,20712.0,0.0,0,0,0
354,22680.0,22740.0,60.0,1,163.67241379310346,163.67241379310346,1,1,800.0,800.0,345.2,20712.0,0.0,0,0,0
355,22740.0,22800.0,60.0,1,160.48771929824562,160.48771929824562,1,1,800.0,800.0,345.2,20712.0,0.0,0,0,0
356,22800.0,22860.0,60.0,1,157.18928571428572,157.18928571428572,1,1,800.0,800.0,345.2,20712.0,0.0,0,0,0
