segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
91,5820.0,5880.0,60.0,5,261.9846543204868,261.9846543204868,1,2,1600.0,1600.0,939.1999999999999,56352.0,0.0,0,0,0
92,5880.0,6000.0,120.0,5,247.3921476045099,247.3921476045099,1,2,1600.0,1600.0,939.1999999999999,112704.0,0.0,0,0,0
93,6000.0,6060.0,60.0,5,215.89851979362098,215.89851979362098,1,2,1600.0,1600.0,939.1999999999999,56352.0,0.0,0,0,0
94,6060.0,6120.0,60.0,5,198.85406193917493,198.85406193917493,1,2,1600.0,1600.0,781.4,46884.0,0.0,0,0,0
95,6120.0,6240.0,120.0,4,187.40700202380947,187.40700202380947,1,2,1600.0,1600.0,769.5,92340.0,0.0,0,0,0
96,6240.0,6300.0,60.0,4,164.0389991183823,164.0389991183823,1,2,1600.0,1600.0,769.5,46170.0,0.0,0,0,0
97,6300.0,6360.0,60.0,4,151.57449382239378,151.57449382239378,1,2,1600.0,1600.0,769.5,46170.0,0.0,0,0,0
98,6360.0,6480.0,120.0,4,138.538862912578,138.538862912578,1,2,1600.0,1600.0,625.7391266666663,75088.69519999996,0.0,0,0,0
99,6480.0,6540.0,60.0,3,119.03364408863969,119.03364408863969,1,2,1600.0,1600.0,585.9,35154.0,0.0,0,0,0
100,6540.0,6600.0,60.0,3,109.82649393623116,109.82649393623116,1,2,1600.0,1600.0,585.9,35154.0,0.0,0,0,0
101,6600.0,6660.0,60.0,3,100.20861591540401,100.20861591540401,1,2,1600.0,1600.0,585.9,35154.0,0.0,0,0,0
102,6660.0,6720.0,60.0,3,90.1487958210914,90.1487958210914,1,2,1600.0,1600.0,585.9,35154.0,0.0,0,0,0
103,6720.0,6748.828,28.82800000000043,3,79.61226816831383,79.61226816831383,1,2,1600.0,1600.0,585.9,16890.325200000254,0.0,0,0,0
104,6748.828,6780.0,31.17199999999957,3,74.36901595781043,74.36901595781043,1,1,800.0,800.0,585.9,18263.674799999746,0.0,0,0,0
105,6780.0,6840.0,60.0,3,68.560160445162,68.560160445162,1,1,800.0,800.0,585.9,35154.0,0.0,0,0,0
106,6840.0,6900.0,60.0,3,56.948824775910325,56.948824775910325,1,1,800.0,800.0,585.9,35154.0,0.0,0,0,0
107,6900.0,6960.0,60.0,2,44.72902870462499,44.72902870462499,1,1,800.0,800.0,213.5494466666656,12812.966799999936,0.0,0,0,0
108,6960.0,7020.0,60.0,1,41.833333333333336,41.833333333333336,1,1,800.0,800.0,198.5,11910.0,0.0,0,0,0
109,7020.0,7080.0,60.0,1,39.42307692307692,39.42307692307692,1,1,800.0,800.0,198.5,11910.0,0.0,0,0,0
110,7080.0,7140.0,60.0,1,36.9375,36.9375,1,1,800.0,800.0,198.5,11910.0,0.0,0,0,0
111,7140.0,7260.0,120.0,1,34.37301587301587,34.37301587301587,1,1,800.0,800.0,198.5,23820.0,0.0,0,0,0
112,7260.0,7320.0,60.0,1,28.991803278688526,28.991803278688526,1,1,800.0,800.0,198.5,11910.0,0.0,0,0,0
113,7320.0,7380.0,60.0,1,26.166666666666668,26.166666666666668,1,1,800.0,800.0,198.5,11910.0,0.0,0,0,0
114,7380.0,7500.0,120.0,1,23.24576271186441,23.24576271186441,1,1,800.0,800.0,198.5,23820.0,0.0,0,0,0
115,7500.0,7560.0,60.0,1,17.096491228070175,17.096491228070175,1,1,800.0,800.0,198.5,11910.0,0.0,0,0,0
116,7560.0,7620.0,60.0,1,13.857142857142858,13.857142857142858,1,1,800.0,800.0,198.5,11910.0,0.0,0,0,0
117,7620.0,7740.0,120.0,1,10.5,10.5,1,1,800.0,800.0,198.5,23820.0,0.0,0,0,0
118,7740.0,7800.0,60.0,1,3.4056603773584904,3.4056603773584904,1,1,800.0,800.0,180.5,10830.0,0.0,0,0,0
119,7800.0,7860.0,60.0,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
120,7860.0,7880.732,20.73199999999997,0,0,0,0,1,800.0,800.0,0.0,0.0,0.0,0,0,0
121,7880.732,7920.0,39.26800000000003,0,0,0,0,2,1600.0,1600.0,0.0,0.0,0.0,0,0,0
122,7920.0,7980.0,60.0,0,0,0,0,2,1600.0,1600.0,0.0,0.0,0.0,0,0,0
123,7980.0,8021.305,41.30500000000029,0,0,0,0,2,1600.0,1600.0,0.0,0.0,0.0,0,0,0
124,8021.305,8040.0,18.69499999999971,0,0,0,0,3,2400.0,2400.0,0.0,0.0,0.0,0,0,0
125,8040.0,8100.0,60.0,0,0,0,0,3,2400.0,2400.0,0.0,0.0,0.0,0,0,0
126,8100.0,8160.0,60.0,1,153.6,153.6,1,3,2400.0,2400.0,307.2,18432.0,0.0,0,0,0
127,8160.0,8220.0,60.0,1,151.04,151.04,1,3,2400.0,2400.0,307.2,18432.0,0.0,0,0,0
128,8220.0,8280.0,60.0,1,148.39322033898304,148.39322033898304,1,3,2400.0,2400.0,307.2,18432.0,0.0,0,0,0
129,8280.0,8340.0,60.0,1,145.6551724137931,145.6551724137931,1,3,2400.0,2400.0,307.2,18432.0,0.0,0,0,0
130,8340.0,8385.934,45.93399999999929,1,142.82105263157894,142.82105263157894,1,3,2400.0,2400.0,307.2,14110.92479999978,0.0,0,0,0
131,8385.934,8400.0,14.066000000000713,1,140.58322368323562,140.58322368323562,1,2,1600.0,1600.0,307.2,4321.0752000002185,0.0,0,0,0
132,8400.0,8460.0,60.0,1,139.88571428571427,139.88571428571427,1,2,1600.0,1600.0,307.2,18432.0,0.0,0,0,0
133,8460.0,8520.0,60.0,1,136.84363636363636,136.84363636363636,1,2,1600.0,1600.0,307.2,18432.0,0.0,0,0,0
134,8520.0,8580.0,60.0,2,282.7888888888889,282.7888888888889,1,2,1600.0,1600.0,605.4,36324.0,0.0,0,0,0
135,8580.0,8640.0,60.0,2,277.1854068396226,277.1854068396226,1,2,1600.0,1600.0,605.4,36324.0,0.0,0,0,0
136,8640.0,8700.0,60.0,2,271.3820512820513,271.3820512820513,1,2,1600.0,1600.0,605.4,36324.0,0.0,0,0,0
137,8700.0,8760.0,60.0,3,442.9678368121442,442.9678368121442,1,2,1600.0,1600.0,960.5999999999999,57636.0,0.0,0,0,0
138,8760.0,8820.0,60.0,3,433.1064610237538,433.1064610237538,1,2,1600.0,1600.0,960.5999999999999,57636.0,0.0,0,0,0
